Date,Symbol,Open,High,Low,Close,Volume,fetch_time
2025-01-14 15:47:00+00:00,AAPL,235.4199981689453,235.49000549316406,235.406494140625,235.4600067138672,46943,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:48:00+00:00,AAPL,235.46090698242188,235.47999572753906,235.35000610351562,235.41949462890625,44579,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:49:00+00:00,AAPL,235.41000366210938,235.42210388183594,235.1699981689453,235.1699981689453,56084,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:50:00+00:00,AAPL,235.17999267578125,235.22000122070312,235.0399932861328,235.1699981689453,81350,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:51:00+00:00,AAPL,235.1699981689453,235.2100067138672,234.8699951171875,234.99000549316406,132710,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:52:00+00:00,AAPL,234.97500610351562,235.05999755859375,234.89999389648438,234.91160583496094,54386,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:53:00+00:00,AAPL,234.89999389648438,235.07000732421875,234.89999389648438,235.02000427246094,31314,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:54:00+00:00,AAPL,235.02000427246094,235.1199951171875,234.97000122070312,235.1199951171875,42294,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:55:00+00:00,AAPL,235.09500122070312,235.11000061035156,234.89999389648438,234.90480041503906,40656,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:56:00+00:00,AAPL,234.92999267578125,234.94000244140625,234.67999267578125,234.86289978027344,115797,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:57:00+00:00,AAPL,234.8101043701172,234.97999572753906,234.75999450683594,234.77740478515625,43494,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:58:00+00:00,AAPL,234.7899932861328,234.80999755859375,234.6501007080078,234.75999450683594,52737,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:59:00+00:00,AAPL,234.77000427246094,234.8240966796875,234.74000549316406,234.77000427246094,100290,2025-01-15 05:14:03.009777+00:00
2025-01-14 16:00:00+00:00,AAPL,234.77999877929688,234.8300018310547,234.7187042236328,234.76499938964844,37238,2025-01-15 05:14:03.009777+00:00
2025-01-14 16:01:00+00:00,AAPL,234.7552032470703,234.85499572753906,234.64999389648438,234.85000610351562,51960,2025-01-15 05:14:03.009777+00:00
2025-01-14 16:02:00+00:00,AAPL,234.84010314941406,234.8822021484375,234.6199951171875,234.6300048828125,52680,2025-01-15 05:14:03.009777+00:00
2025-01-14 16:03:00+00:00,AAPL,234.65499877929688,234.67999267578125,234.5200958251953,234.6199951171875,60197,2025-01-15 05:14:03.009777+00:00
2025-01-14 16:04:00+00:00,AAPL,234.61000061035156,234.61000061035156,234.414794921875,234.5200958251953,65493,2025-01-15 05:14:03.009777+00:00
2025-01-14 16:05:00+00:00,AAPL,234.5200958251953,234.57000732421875,234.4600067138672,234.55599975585938,51189,2025-01-15 05:14:03.009777+00:00
2025-01-14 16:06:00+00:00,AAPL,234.55499267578125,234.6199951171875,234.42999267578125,234.56500244140625,51484,2025-01-15 05:14:03.009777+00:00
2025-01-14 16:07:00+00:00,AAPL,234.60000610351562,234.6300048828125,234.52000427246094,234.5399932861328,67789,2025-01-15 05:14:03.009777+00:00
2025-01-14 16:08:00+00:00,AAPL,234.53500366210938,234.6300048828125,234.50999450683594,234.5601043701172,42505,2025-01-15 05:14:03.009777+00:00
2025-01-14 16:09:00+00:00,AAPL,234.5500030517578,234.7899932861328,234.5200958251953,234.74000549316406,41788,2025-01-15 05:14:03.009777+00:00
