,asset1,asset2,mean,std,min,max,negative_pct,missing_pct
AMZN|||MNST,AMZN,MNST,0.3712887121573971,0.1676679514082557,0.04019270757371093,0.6636097270237976,0.0,5.800000000000001
AMZN|||MRVL,AMZN,MRVL,0.5964414976888865,0.14638022516559596,0.23808652994764523,0.8092455652970307,0.0,5.800000000000001
AMZN|||MSFT,AMZN,MSFT,0.6628044235885756,0.11939565488129002,0.4438187735496041,0.8406531472406671,0.0,5.800000000000001
AMZN|||MSTR,AMZN,MSTR,0.4845837892189052,0.2293861412161745,0.07007591705998213,0.7778586835181476,0.0,5.800000000000001
AMZN|||MU,AMZN,MU,0.4782654972126009,0.14469073867281806,0.17067582180342528,0.7671058851129814,0.0,5.800000000000001
AMZN|||NFLX,AMZN,NFLX,0.5003708842161612,0.13692925103613307,0.15581811212803784,0.8062595621642514,0.0,5.800000000000001
AMZN|||NVDA,AMZN,NVDA,0.5601643664084901,0.19812215445799763,0.09419429780487788,0.831158275728056,0.0,5.800000000000001
AMZN|||NXPI,AMZN,NXPI,0.4870726508566265,0.1778193316478467,0.03308318338916161,0.7973743023781252,0.0,5.800000000000001
AMZN|||ODFL,AMZN,ODFL,0.4183527068389726,0.24578697967758284,-0.08799829309098872,0.7203050293774992,5.800000000000001,5.800000000000001
AMZN|||ON,AMZN,ON,0.4992348049817938,0.20046464750723214,0.049616364442067816,0.7636654920330425,0.0,5.800000000000001
AMZN|||ORLY,AMZN,ORLY,0.2087685386152169,0.1547861423228411,-0.024620943843714573,0.6000606131522168,0.2,5.800000000000001
AMZN|||PANW,AMZN,PANW,0.45370808350048186,0.16408232071681966,0.06859084933394814,0.6826772786062045,0.0,5.800000000000001
AMZN|||PAYX,AMZN,PAYX,0.4415822574701421,0.2154158786514563,-0.06912373739175746,0.727558271136133,5.0,5.800000000000001
AMZN|||PCAR,AMZN,PCAR,0.2873945003433181,0.2373492218147836,-0.19457245126537964,0.6772063591656458,16.0,5.800000000000001
AMZN|||PDD,AMZN,PDD,0.2944650516969387,0.06878157986192426,0.08233734654075982,0.4609720366330008,0.0,5.800000000000001
AMZN|||PEP,AMZN,PEP,0.2311298294105314,0.18817750397789737,-0.16707990076567156,0.5964093128396454,7.8,5.800000000000001
AMZN|||PLTR,AMZN,PLTR,0.5419734647276765,0.15830506327408472,0.2304539482201308,0.8174536889994201,0.0,5.800000000000001
AMZN|||PYPL,AMZN,PYPL,0.5095444063045333,0.2038103187139006,0.10646003786165799,0.7833778824042429,0.0,5.800000000000001
AMZN|||QCOM,AMZN,QCOM,0.5200854979828413,0.12215532727322803,0.27441263789440784,0.7935587331987244,0.0,5.800000000000001
AMZN|||REGN,AMZN,REGN,0.164870997032607,0.14770190918148354,-0.11641932925070325,0.553771563535554,12.4,5.800000000000001
AMZN|||ROP,AMZN,ROP,0.3968019628071411,0.17744946935566105,-0.10257664537560322,0.7057707192970025,1.2,5.800000000000001
AMZN|||ROST,AMZN,ROST,0.396795737116526,0.15788671730012938,0.08361941648804792,0.7071983950290024,0.0,5.800000000000001
AMZN|||SBUX,AMZN,SBUX,0.4302400540012222,0.20401914570215776,0.03735604275767391,0.7539848909727564,0.0,5.800000000000001
AMZN|||SNPS,AMZN,SNPS,0.5727066102673835,0.153884474293519,0.19158448467371939,0.7667994406084168,0.0,5.800000000000001
AMZN|||TEAM,AMZN,TEAM,0.6141527200625699,0.13080256623203967,0.30785974841385616,0.8229277473299789,0.0,5.800000000000001
AMZN|||TMUS,AMZN,TMUS,0.29071553048563414,0.24677905894311747,-0.06983719024229276,0.7509131771343911,2.8000000000000003,5.800000000000001
AMZN|||TSLA,AMZN,TSLA,0.48910160488454474,0.13140948372067,0.24877573230460281,0.7593618516179266,0.0,5.800000000000001
AMZN|||TTD,AMZN,TTD,0.5946642262473447,0.1260197349493973,0.3041741885355304,0.8183817254896318,0.0,5.800000000000001
AMZN|||TTWO,AMZN,TTWO,0.42765519794469553,0.11376617779041866,0.18218116807669363,0.6526056967856851,0.0,5.800000000000001
AMZN|||TXN,AMZN,TXN,0.5124234726377913,0.1724064801912859,0.18668778411895356,0.8178748770759995,0.0,5.800000000000001
